ID	Human-true (FEVER)	Human-false (FEVER)	AI-true (ChatGPT)	AI-false
1	Slovenia uses the euro.	Stranger Things is set in Bloomington, Indiana.	The Pacific Ocean is larger than the Atlantic Ocean.	The Moon is made entirely of cheese.
2	The terrain of Kazakhstan includes taiga.	Puerto Rico is not an unincorporated territory of the United States.	Marie Curie won two Nobel Prizes.	Albert Einstein invented the telephone.
3	Planet of the Apes (1968 film) had a script that underwent rewrites.	Zeus is an angel.	The Amazon rainforest spans multiple countries.	Antarctica is the hottest continent on Earth.
4	Sully is a Tom Hanks movie.	Apple was founded in 1979.	Chess is played on a board with 64 squares.	Penguins can breathe underwater.
5	Canada possesses a constitution.	Overwatch is a board game.	The Eiffel Tower is located in Paris.	Tokyo is the capital of Brazil.
6	One type of spread is Vegemite.	Qatar borders London.	Penguins are birds.	Gold is a liquid at room temperature.
7	Ketogenic diet has protein.	Saddam Hussein died in 1937.	The Pacific Ocean contains more water than any other ocean on Earth.	The Sun revolves around the Earth every 24 hours.
8	Just Dance was a song.	Wikipedia has articles in only english.	JavaScript is a programming language.	Basketball is played with a hockey puck.
9	Belgium is comprised of three regions.	Toy Story is a television show.	Mount Everest is the tallest mountain above sea level.	Elephants are insects.
10	Same-sex marriage is legal in the American territory Guam.	Lymphoma is a kitten.	Coffee contains caffeine.	Microsoft was founded in the 1800s.
11	Tesla, Inc. makes electric cars.	Slovakia is a warship.	The Nile River flows through Egypt.	Water boils at 50 degrees Celsius at sea level.
12	FC Barcelona was awarded five trophies.	Teen Wolf is a political movement.	Shakespeare wrote Hamlet.	The human heart is located in the right foot.
13	Twitter had about 1.6 billion search queries per day in 2012.	Singapore has a high level of press freedom.	The human body has two lungs.	Jupiter is smaller than Mercury.
14	Batman's first appearance was in a 1939 comic.	Melbourne is in Russia.	Saturn has rings.	Tennis is played with square balls.
15	Lithuania is a country that is part of the European Union.	Adele is a Canadian songwriter.	The United Nations was founded after World War II.	The Sahara Desert is located in Antarctica.
16	To Kill a Mockingbird explores racial injustice as a theme.	Planet of the Apes was unable to shoot scenes in the United States.	Bananas contain potassium.	Beethoven was a famous astronaut.
17	Saddam Hussein was born in 1937.	Iron Fist is based on the DC Comics character.	Venus is a planet in the Solar System.	Linux is a species of bird.
18	Apple's founder was Steve Jobs.	The animated film The Incredibles was nominated for five Academy Awards but lost in each category.	The FIFA World Cup is an international soccer tournament.	The Statue of Liberty is in Australia.
19	Ted Kaczynski attempt to remove his lawyers that the court assigned him.	Loki is the father of Farbauti and Laufey.	Dinosaurs lived before humans existed.	Dolphins are reptiles.
20	The blue-ringed octopus is an animal.	Egypt is a city.	The Internet allows computers to communicate globally.	The Roman Empire was founded in the 21st century.
