participant_id,statement_id,label_visible,actual_source,known_truth,predicted_truthfulness,correct,confidence,trustworthiness,perceived_source,presurvey_ai_familiarity,presurvey_ai_trust,presurvey_skepticism,presurvey_fact_checking,presurvey_baseline_confidence,age,gender,nationality,education,persona_ai_familiarity,persona_ai_trust,persona_ai_literacy,persona_general_confidence,persona_reasoning_style,persona_online_content_skepticism,knowledge_geography_history,knowledge_science_health,knowledge_entertainment_literature,knowledge_technology_internet,topic_familiarity,source_file
251,TS56,1,ai,True,true,1.0,5.0,2.0,,4,3,5,6,2,22,woman,US,bachelors_degree,4,3,1,3,intuitive,moderate,6,7,2,5,4,truth_source_labeled_persona_251.json
251,TS47,1,ai,True,true,1.0,6.0,3.0,,4,3,5,6,2,22,woman,US,bachelors_degree,4,3,1,3,intuitive,moderate,6,7,2,5,4,truth_source_labeled_persona_251.json
251,TS2,1,human,True,true,1.0,5.0,6.0,,4,3,5,6,2,22,woman,US,bachelors_degree,4,3,1,3,intuitive,moderate,6,7,2,5,4,truth_source_labeled_persona_251.json
251,TS18,1,human,True,true,1.0,5.0,4.0,,4,3,5,6,2,22,woman,US,bachelors_degree,4,3,1,3,intuitive,moderate,6,7,2,5,4,truth_source_labeled_persona_251.json
251,TS1,1,human,True,true,1.0,4.0,5.0,,4,3,5,6,2,22,woman,US,bachelors_degree,4,3,1,3,intuitive,moderate,6,7,2,5,4,truth_source_labeled_persona_251.json
252,TS56,1,ai,True,true,1.0,4.0,2.0,,4,2,6,5,4,24,prefer_not_to_say,US,some_college,4,2,5,3,mixed,high,6,4,6,6,3,truth_source_labeled_persona_252.json
252,TS69,1,ai,False,false,1.0,6.0,2.0,,4,2,6,5,4,24,prefer_not_to_say,US,some_college,4,2,5,3,mixed,high,6,4,6,6,3,truth_source_labeled_persona_252.json
252,TS2,1,human,True,true,1.0,5.0,4.0,,4,2,6,5,4,24,prefer_not_to_say,US,some_college,4,2,5,3,mixed,high,6,4,6,6,3,truth_source_labeled_persona_252.json
252,TS1,1,human,True,false,0.0,4.0,5.0,,4,2,6,5,4,24,prefer_not_to_say,US,some_college,4,2,5,3,mixed,high,6,4,6,6,3,truth_source_labeled_persona_252.json
252,TS47,1,ai,True,true,1.0,4.0,2.0,,4,2,6,5,4,24,prefer_not_to_say,US,some_college,4,2,5,3,mixed,high,6,4,6,6,3,truth_source_labeled_persona_252.json
253,TS69,1,ai,False,false,1.0,6.0,2.0,,5,2,4,3,4,21,nonbinary,US,graduate_student,5,2,7,1,mixed,high,3,2,5,5,7,truth_source_labeled_persona_253.json
253,TS2,1,human,True,true,1.0,5.0,4.0,,5,2,4,3,4,21,nonbinary,US,graduate_student,5,2,7,1,mixed,high,3,2,5,5,7,truth_source_labeled_persona_253.json
253,TS1,1,human,True,true,1.0,5.0,6.0,,5,2,4,3,4,21,nonbinary,US,graduate_student,5,2,7,1,mixed,high,3,2,5,5,7,truth_source_labeled_persona_253.json
253,TS56,1,ai,True,true,1.0,6.0,3.0,,5,2,4,3,4,21,nonbinary,US,graduate_student,5,2,7,1,mixed,high,3,2,5,5,7,truth_source_labeled_persona_253.json
253,TS47,1,ai,True,true,1.0,6.0,2.0,,5,2,4,3,4,21,nonbinary,US,graduate_student,5,2,7,1,mixed,high,3,2,5,5,7,truth_source_labeled_persona_253.json
254,TS45,1,ai,True,true,1.0,4.0,2.0,,6,3,5,4,2,18,nonbinary,Dutch,graduate_student,6,3,3,7,mixed,high,4,3,5,4,4,truth_source_labeled_persona_254.json
254,TS69,1,ai,False,false,1.0,2.0,3.0,,6,3,5,4,2,18,nonbinary,Dutch,graduate_student,6,3,3,7,mixed,high,4,3,5,4,4,truth_source_labeled_persona_254.json
